Tour stop,Date,Date,M_Y,Shows,Artist,Revenue,Tickets,Capacity,Percentage Sold,Venue,City,State,Country
23,10/5/2022,10/5/2022,Oct_2022,1,My Chemical Romance,"2,312,402.00",13301,13301,100%,Oakland Arena,Oakland,CA,United States
25,10/11/2022,10/17/2022,Oct_2022,5,My Chemical Romance,"9,379,280.00",69501,69501,100%,Forum,Inglewood,CA,United States
20,9/30/2022,9/30/2022,Sept_2022,1,My Chemical Romance,"2,303,500.00",13703,13703,100%,Ball Arena,Denver,CO,United States
9,9/1/2022,9/1/2022,Sept_2022,1,My Chemical Romance,"947,219.00",4871,4871,100%,Mohegan Sun Arena,Uncasville,CT,United States
17,9/24/2022,9/24/2022,Sept_2022,1,My Chemical Romance,"2,186,088.00",14090,14090,100%,FLA Live Arena,Sunrise,FL,United States
15,9/18/2022,9/18/2022,Sept_2022,1,My Chemical Romance,"1,368,605.00",11752,11752,100%,Ameris Bank Amphitheatre,Alpharetta,GA,United States
10,9/7/2022,9/8/2022,Sept_2022,2,My Chemical Romance,"3,875,419.00",26075,27400,95.16%,TD Garden,Boston,MA,United States
13,9/13/2022,9/13/2022,Sept_2022,1,My Chemical Romance,"2,570,993.00",14829,14829,100%,Little Caesars Arena,Detroit,MI,United States
14,9/15/2022,9/15/2022,Sept_2022,1,My Chemical Romance,"2,323,892.00",14649,14649,100%,Xcel Energy Center,Saint Paul,MN,United States
5,8/26/2022,8/26/2022,Aug_2022,1,My Chemical Romance,"2,482,991.00",13902,13902,100%,PNC Arena,Raleigh,NC,United States
16,9/20/2022,9/21/2022,Sept_2022,2,My Chemical Romance,"3,756,499.00",26108,26108,100%,Prudential Center,Newark,NJ,United States
24,10/7/2022,10/7/2022,Oct_2022,1,My Chemical Romance,"2,671,341.00",15519,15519,100%,T-Mobile Arena,Las Vegas,NV,United States
6,8/27/2022,8/27/2022,Aug_2022,1,My Chemical Romance,"1,364,591.00",10674,11768,90.73%,UBS Arena,New York,NY,United States
8,8/30/2022,8/30/2022,Aug_2022,1,My Chemical Romance,"997,090.00",7404,8067,91.78%,MVP Arena,Albany,NY,United States
11,9/10/2022,9/10/2022,Sept_2022,1,My Chemical Romance,"1,445,376.00",10798,11239,96.08%,Barclays Center,New York,NY,United States
12,9/11/2022,9/11/2022,Sept_2022,1,My Chemical Romance,"2,955,027.00",14132,14132,100%,Barclays Center,New York,NY,United States
4,8/24/2022,8/24/2022,Aug_2022,1,My Chemical Romance,"1,652,303.00",13633,13633,100%,Heritage Bank Center,Cincinnati,OH,United States
1,8/20/2022,8/20/2022,Aug_2022,1,My Chemical Romance,"1,963,336.00",9881,11897,83.05%,Paycom Center,Oklahoma City,OK,United States
21,10/2/2022,10/2/2022,Oct_2022,1,My Chemical Romance,"1,776,165.00",11691,11691,100%,Moda Center,Portland,OR,United States
7,8/29/2022,8/29/2022,Aug_2022,1,My Chemical Romance,"2,769,425.00",14368,14368,100%,Wells Fargo Center,Philadelphia,PA,United States
3,8/23/2022,8/23/2022,Aug_2022,1,My Chemical Romance,"2,057,097.00",12870,12870,100%,Bridgestone Arena,Nashville,TN,United States
2,8/21/2022,8/21/2022,Aug_2022,1,My Chemical Romance,"2,087,747.00",12067,12067,100%,AT&T Center,San Antonio,TX,United States
18,9/27/2022,9/27/2022,Sept_2022,1,My Chemical Romance,"1,802,648.00",11864,11864,100%,Toyota Center,Houston,TX,United States
19,9/28/2022,9/28/2022,Sept_2022,1,My Chemical Romance,"3,184,604.00",14143,14143,100%,American Airlines Center,Dallas,TX,United States
22,10/3/2022,10/3/2022,Oct_2022,1,My Chemical Romance,"2,351,736.00",19617,19617,100%,Tacoma Dome,Tacoma,WA,United States
